"address","addressCity","addressState","addressStreet","addressZipcode","area","availabilityDate","baths","beds","brokerName","countryCurrency","hasAdditionalAttributions","id","isFeaturedListing","isHomeRec","isSaved","isUndisclosedAddress","isUserClaimingOwner","latLong/latitude","latLong/longitude","list","openHouseDescription","openHouseStartDate","price","shouldShowZestimateAsPrice","statusText","statusType","unformattedPrice","variableData/text","variableData/type","zpid"
"17620 N 17th Pl UNIT 34, Phoenix, AZ 85022","Phoenix","AZ","17620 N 17th Pl UNIT 34","85022","1207",,"3","2","Opendoor Brokerage, LLC","$","true","8000871","false","false","false","false","false","33.646866","-112.04558","true","Open House - 8:00 AM - 7:30 PM","2024-05-30T08:00:00","$317,000","false","Townhouse for sale","FOR_SALE","317000","Open: Thu. 8am-7:30pm","OPEN_HOUSE","8000871"
"11061 N 111th Way, Scottsdale, AZ 85259","Scottsdale","AZ","11061 N 111th Way","85259","1471",,"2","3","HomeSmart","$","true","8050748","false","false","false","false","false","33.58717","-111.840965","true","Open House - 0:00 - 2:30 PM","2024-06-01T12:00:00","$579,000","false","House for sale","FOR_SALE","579000","Open: Sat. 12-2:30pm","OPEN_HOUSE","8050748"
"7751 E Glenrosa Ave APT C5, Scottsdale, AZ 85251","Scottsdale","AZ","7751 E Glenrosa Ave APT C5","85251","957",,"1","2","eXp Realty","$","true","7846319","false","false","false","false","false","33.498177","-111.91428","true","Open House - 10:00 AM - 1:00 PM","2024-06-01T10:00:00","$370,000","false","Apartment for sale","FOR_SALE","370000","Open: Sat. 10am-1pm","OPEN_HOUSE","7846319"
"7002 S 42nd Way, Phoenix, AZ 85042","Phoenix","AZ","7002 S 42nd Way","85042","939",,"2","2","Realty ONE Group","$","true","7552172","false","false","false","false","false","33.38345","-111.99026","true","Open House - 10:00 AM - 1:00 PM","2024-06-01T10:00:00","$325,000","false","Townhouse for sale","FOR_SALE","325000","Open: Sat. 10am-1pm","OPEN_HOUSE","7552172"
"8356 E San Ramon Dr, Scottsdale, AZ 85258","Scottsdale","AZ","8356 E San Ramon Dr","85258","2618",,"3","4","HomeSmart","$","true","7867033","false","false","false","false","false","33.569626","-111.90005","true","Open House - 0:00 - 4:00 PM","2024-06-01T12:00:00","$1,200,000","false","House for sale","FOR_SALE","1200000","Open: Sat. 12-4pm","OPEN_HOUSE","7867033"
"3757 E Kent Dr, Phoenix, AZ 85044","Phoenix","AZ","3757 E Kent Dr","85044","1689",,"3","3","Realty ONE Group","$","true","8254948","false","false","false","false","false","33.323","-112.001366","true","Open House - 10:00 AM - 2:00 PM","2024-06-01T10:00:00","$540,000","false","House for sale","FOR_SALE","540000","Open: Sat. 10am-2pm","OPEN_HOUSE","8254948"
"9216 W Via Del Sol, Peoria, AZ 85383","Peoria","AZ","9216 W Via Del Sol","85383","4391",,"5","4","Premier Realty Group","$","true","240311246","false","false","false","false","false","33.68294","-112.25766","true","Open House - 11:00 AM - 2:00 PM","2024-06-01T11:00:00","$2,195,000","false","House for sale","FOR_SALE","2195000","Open: Sat. 11am-2pm","OPEN_HOUSE","240311246"
"1435 E Monte Vista Rd, Phoenix, AZ 85006","Phoenix","AZ","1435 E Monte Vista Rd","85006","1468",,"3","3","HomeSmart","$","true","7532369","false","false","false","false","false","33.47096","-112.050446","true","Open House - 9:30 AM - 1:00 PM","2024-06-01T09:30:00","$750,000","false","House for sale","FOR_SALE","750000","Open: Sat. 9:30am-1pm","OPEN_HOUSE","7532369"
"9008 E Friess Dr, Scottsdale, AZ 85260","Scottsdale","AZ","9008 E Friess Dr","85260","2068",,"2","3","Russ Lyon Sotheby's International Realty","$","true","8043532","false","false","false","false","false","33.613796","-111.88679","true","Open House - 11:00 AM - 2:00 PM","2024-05-30T11:00:00","$889,000","false","House for sale","FOR_SALE","889000","Open: Thu. 11am-2pm","OPEN_HOUSE","8043532"
"2521 E Carol Ave, Phoenix, AZ 85028","Phoenix","AZ","2521 E Carol Ave","85028","2386",,"2","3","Keller Williams Realty Sonoran Living","$","true","7811945","false","false","false","false","false","33.57229","-112.02716","true","Open House - 11:00 AM - 2:00 PM","2024-06-02T11:00:00","$945,000","false","House for sale","FOR_SALE","945000","Open: Sun. 11am-2pm","OPEN_HOUSE","7811945"
"13007 W Lowden Rd, Peoria, AZ 85383","Peoria","AZ","13007 W Lowden Rd","85383","4676",,"3","4","Re/Max Fine Properties","$","true","81983589","false","false","false","false","false","33.761974","-112.34154","true","Open House - 9:00 AM - 1:00 PM","2024-06-02T09:00:00","$1,300,000","false","House for sale","FOR_SALE","1300000","Open: Sun. 9am-1pm","OPEN_HOUSE","81983589"
"1326 W Roosevelt St, Phoenix, AZ 85007","Phoenix","AZ","1326 W Roosevelt St","85007","1448",,"2","3","Citiea","$","true","7521188","false","false","false","false","false","33.458935","-112.09027","true","Open House - 10:00 AM - 0:00 PM","2024-06-01T10:00:00","$550,000","false","House for sale","FOR_SALE","550000","Open: Sat. 10am-12pm","OPEN_HOUSE","7521188"
"20613 N 31st Ave, Phoenix, AZ 85027","Phoenix","AZ","20613 N 31st Ave","85027","910",,"2","2","eXp Realty","$","true","7934594","false","false","false","false","false","33.674076","-112.12573","true","Open House - 2:00 - 5:00 PM","2024-05-31T14:00:00","$299,000","false","Multi-family home for sale","FOR_SALE","299000","Open: Fri. 2-5pm","OPEN_HOUSE","7934594"
"9035 W State Ave, Glendale, AZ 85305","Glendale","AZ","9035 W State Ave","85305","1903",,"3","3","Realty Executives","$","true","95128161","false","false","false","false","false","33.5424","-112.254166","true","Open House - 10:00 AM - 2:00 PM","2024-06-01T10:00:00","$399,990","false","House for sale","FOR_SALE","399990","Open: Sat. 10am-2pm","OPEN_HOUSE","95128161"
"8717 W Turney Ave, Phoenix, AZ 85037","Phoenix","AZ","8717 W Turney Ave","85037","2156",,"2","3","Realty Executives","$","true","7467082","false","false","false","false","false","33.499214","-112.2475","true","Open House - 0:00 - 3:00 PM","2024-06-02T12:00:00","$225K","false","Auction","FOR_SALE","225000","Open: Sun. 12-3pm","OPEN_HOUSE","7467082"
"4937 E Rockridge Rd, Phoenix, AZ 85018","Phoenix","AZ","4937 E Rockridge Rd","85018","13286",,"10","5","Arizona Best Real Estate","$","true","7838171","false","false","false","false","false","33.51059","-111.97496","true","Open House - 5:30 - 7:30 PM","2024-06-12T17:30:00","$7.90M","false","Auction","FOR_SALE","7900000","Open: 6/12 5:30-7:30pm","OPEN_HOUSE","7838171"
"4463 W Oraibi Dr, Glendale, AZ 85308","Glendale","AZ","4463 W Oraibi Dr","85308","1504",,"3","3","Citiea","$","true","7938337","false","false","false","false","false","33.663025","-112.15573","true","Open House - 5:30 - 7:30 PM","2024-06-04T17:30:00","$409,000","false","House for sale","FOR_SALE","409000","Open: Tue. 5:30-7:30pm","OPEN_HOUSE","7938337"
"8352 W San Juan Ave, Glendale, AZ 85305","Glendale","AZ","8352 W San Juan Ave","85305","2511",,"3","4","Real Broker","$","true","60332618","false","false","false","false","false","33.518444","-112.23879","true","Open House - 2:00 - 6:00 PM","2024-05-30T14:00:00","$625,000","false","House for sale","FOR_SALE","625000","Open: Thu. 2-6pm","OPEN_HOUSE","60332618"
"7137 E Rancho Vista Dr UNIT 7008, Scottsdale, AZ 85251","Scottsdale","AZ","7137 E Rancho Vista Dr UNIT 7008","85251","1955",,"3","2","Launch Powered By Compass","$","true","81991386","false","false","false","false","false","33.506516","-111.928345","true","Open House - 10:00 AM - 1:00 PM","2024-05-30T10:00:00","$1,995,000","false","Apartment for sale","FOR_SALE","1995000","Open: Thu. 10am-1pm","OPEN_HOUSE","81991386"
"4039 E Paradise Dr, Phoenix, AZ 85028","Phoenix","AZ","4039 E Paradise Dr","85028","1853",,"2","3","Realty ONE Group","$","true","7826084","false","false","false","false","false","33.59482","-111.991425","true","Open House - 9:00 - 11:00 AM","2024-06-01T09:00:00","$665,000","false","House for sale","FOR_SALE","665000","Open: Sat. 9-11am","OPEN_HOUSE","7826084"
"7276 E Softwind Dr, Scottsdale, AZ 85255","Scottsdale","AZ","7276 E Softwind Dr","85255","1652",,"2","3","Berkshire Hathaway HomeServices Arizona Properties","$","true","7982713","false","false","false","false","false","33.70388","-111.92314","true","Open House - 11:00 AM - 2:00 PM","2024-06-01T11:00:00","$700,000","false","House for sale","FOR_SALE","700000","Open: Sat. 11am-2pm","OPEN_HOUSE","7982713"
"6782 W Skylark Dr, Glendale, AZ 85308","Glendale","AZ","6782 W Skylark Dr","85308","3325",,"3","5","My Home Group Real Estate","$","true","7887171","false","false","false","false","false","33.67435","-112.20483","true","Open House - 11:00 AM - 3:00 PM","2024-06-02T11:00:00","$1,199,000","false","House for sale","FOR_SALE","1199000","Open: Sun. 11am-3pm","OPEN_HOUSE","7887171"
"907 E Gary Ln, Phoenix, AZ 85042","Phoenix","AZ","907 E Gary Ln","85042","2433",,"3","4","My Home Group Real Estate","$","true","52478583","false","false","false","false","false","33.372944","-112.06141","true","Open House - 10:00 AM - 2:00 PM","2024-06-01T10:00:00","$544,990","false","House for sale","FOR_SALE","544990","Open: Sat. 10am-2pm","OPEN_HOUSE","52478583"
"5414 N 82nd St, Scottsdale, AZ 85250","Scottsdale","AZ","5414 N 82nd St","85250","2011",,"2","3","eXp Realty","$","true","7850202","false","false","false","false","false","33.515682","-111.90477","true","Open House - 9:30 AM - 0:00 PM","2024-06-01T09:30:00","$950,000","false","House for sale","FOR_SALE","950000","Open: Sat. 9:30am-12pm","OPEN_HOUSE","7850202"
"1044 E Alameda Dr, Tempe, AZ 85282","Tempe","AZ","1044 E Alameda Dr","85282","2464",,"2","4","eXp Realty","$","true","7594795","false","false","false","false","false","33.400494","-111.92248","true","Open House - 3:00 - 7:30 PM","2024-05-30T15:00:00","$779,000","false","House for sale","FOR_SALE","779000","Open: Thu. 3-7:30pm","OPEN_HOUSE","7594795"
"10726 E Tamarisk Way, Scottsdale, AZ 85262","Scottsdale","AZ","10726 E Tamarisk Way","85262","2922",,"3","3","Russ Lyon Sotheby's International Realty","$","true","8082414","false","false","false","false","false","33.86135","-111.84912","true","Open House - 2:00 - 5:00 PM","2024-06-01T14:00:00","$1,395,000","false","House for sale","FOR_SALE","1395000","Open: Sat. 2-5pm","OPEN_HOUSE","8082414"
