address,addressCity,addressState,addressStreet,addressZipcode,area,availabilityDate,badgeInfo/text,badgeInfo/type,baths,beds,brokerName,carouselPhotos/0/url,countryCurrency,detailUrl,foundFromSearchUrl,foundOnSearchPage,has3DModel,hasAdditionalAttributions,hasImage,hasVideo,hdpData/homeInfo/bathrooms,hdpData/homeInfo/bedrooms,hdpData/homeInfo/city,hdpData/homeInfo/country,hdpData/homeInfo/currency,hdpData/homeInfo/datePriceChanged,hdpData/homeInfo/dateSold,hdpData/homeInfo/daysOnZillow,hdpData/homeInfo/homeStatus,hdpData/homeInfo/homeStatusForHDP,hdpData/homeInfo/homeType,hdpData/homeInfo/isFeatured,hdpData/homeInfo/isNonOwnerOccupied,hdpData/homeInfo/isPreforeclosureAuction,hdpData/homeInfo/isPremierBuilder,hdpData/homeInfo/isRentalWithBasePrice,hdpData/homeInfo/isShowcaseListing,hdpData/homeInfo/isUnmappable,hdpData/homeInfo/isZillowOwned,hdpData/homeInfo/latitude,hdpData/homeInfo/listing_sub_type/is_FSBA,hdpData/homeInfo/listing_sub_type/is_forAuction,hdpData/homeInfo/livingArea,hdpData/homeInfo/longitude,hdpData/homeInfo/lotAreaUnit,hdpData/homeInfo/lotAreaValue,hdpData/homeInfo/price,hdpData/homeInfo/priceChange,hdpData/homeInfo/priceForHDP,hdpData/homeInfo/priceReduction,hdpData/homeInfo/rentZestimate,hdpData/homeInfo/shouldHighlight,hdpData/homeInfo/state,hdpData/homeInfo/streetAddress,hdpData/homeInfo/taxAssessedValue,hdpData/homeInfo/timeOnZillow,hdpData/homeInfo/unit,hdpData/homeInfo/videoCount,hdpData/homeInfo/zestimate,hdpData/homeInfo/zipcode,hdpData/homeInfo/zpid,id,imgSrc,info2String,info3String,isFeaturedListing,isHomeRec,isSaved,isShowcaseListing,isUndisclosedAddress,isUserClaimingOwner,isUserConfirmedClaim,isZillowOwned,latLong/latitude,latLong/longitude,list,lotAreaString,marketingStatusSimplifiedCd,pgapt,providerListingId,rawHomeStatusCd,relaxed,sgapt,shouldShowZestimateAsPrice,soldPrice,statusText,statusType,streetViewMetadataURL,streetViewURL,unformattedPrice,variableData/text,variableData/type,zestimate,zpid
"1309 W Polk St, Phoenix, AZ 85007",Phoenix,AZ,1309 W Polk St,85007,676,,,,1,2,My Home Group Real Estate,https://photos.zillowstatic.com/fp/5f409b40efb7f8af4211582f32800831-p_e.jpg,$,https://www.zillow.com/homedetails/1309-W-Polk-St-Phoenix-AZ-85007/7521731_zpid/,https://www.zillow.com/phoenix-az/sold/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-112.63061986914062%2C%22east%22%3A-111.55121313085937%2C%22south%22%3A33.28514328583089%2C%22north%22%3A33.925649143779%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A40326%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A47958%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A54346%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A18298%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A40298%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,1,FALSE,TRUE,TRUE,FALSE,1,2,Phoenix,USA,USD,,1.71705E+12,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,33.45302,,,676,-112.08943,sqft,5794,330000,,330000,,1500,FALSE,AZ,1309 W Polk St,140200,94167000,,,348400,85007,7521731,7521731,https://photos.zillowstatic.com/fp/5f409b40efb7f8af4211582f32800831-p_e.jpg,Listing provided by ARMLS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.45302,-112.08943,TRUE,,RecentChange,RecentlySold,,RecentlySold,FALSE,Unknown Listed By,FALSE,"$330,000 ",Sold,SOLD,,,330000,Sold 05/30/2024,RECENTLY_SOLD,348400,7521731
"2242 N 11th St, Phoenix, AZ 85006",Phoenix,AZ,2242 N 11th St,85006,2380,,,,3,4,NORTH&CO.,https://photos.zillowstatic.com/fp/2f8be6f397a13a50a09a046c1f0253f8-p_e.jpg,$,https://www.zillow.com/homedetails/2242-N-11th-St-Phoenix-AZ-85006/7533381_zpid/,https://www.zillow.com/phoenix-az/sold/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-112.63061986914062%2C%22east%22%3A-111.55121313085937%2C%22south%22%3A33.28514328583089%2C%22north%22%3A33.925649143779%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A40326%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A47958%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A54346%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A18298%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A40298%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,1,FALSE,TRUE,TRUE,FALSE,3,4,Phoenix,USA,USD,1.71273E+12,1.71705E+12,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,33.472702,,,2380,-112.05883,sqft,6969,1025000,-25001,1025000,"$25,001 (Apr 10)",5023,FALSE,AZ,2242 N 11th St,289600,94167000,,,,85006,7533381,7533381,https://photos.zillowstatic.com/fp/2f8be6f397a13a50a09a046c1f0253f8-p_e.jpg,Listing provided by ARMLS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.472702,-112.05883,TRUE,,RecentChange,RecentlySold,,RecentlySold,FALSE,Unknown Listed By,FALSE,$1.03M,Sold,SOLD,,,1025000,Sold 05/30/2024,RECENTLY_SOLD,,7533381
"2310 N Dayton St, Phoenix, AZ 85006",Phoenix,AZ,2310 N Dayton St,85006,1033,,,,3,3,ProSmart Realty,https://photos.zillowstatic.com/fp/875536ac7cbf60b23f503f7b515da502-p_e.jpg,$,https://www.zillow.com/homedetails/2310-N-Dayton-St-Phoenix-AZ-85006/7533621_zpid/,https://www.zillow.com/phoenix-az/sold/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-112.63061986914062%2C%22east%22%3A-111.55121313085937%2C%22south%22%3A33.28514328583089%2C%22north%22%3A33.925649143779%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A40326%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A47958%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A54346%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A18298%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A40298%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,1,FALSE,TRUE,TRUE,FALSE,3,3,Phoenix,USA,USD,1.71342E+12,1.71705E+12,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,33.473373,,,1033,-112.059906,sqft,5862,550000,-24000,550000,"$24,000 (Apr 18)",2400,FALSE,AZ,2310 N Dayton St,306200,94167000,,,540400,85006,7533621,7533621,https://photos.zillowstatic.com/fp/875536ac7cbf60b23f503f7b515da502-p_e.jpg,Listing provided by ARMLS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.473373,-112.059906,TRUE,,RecentChange,RecentlySold,,RecentlySold,FALSE,Unknown Listed By,FALSE,"$550,000 ",Sold,SOLD,,,550000,Sold 05/30/2024,RECENTLY_SOLD,540400,7533621
"385 E Coronado Rd UNIT 6, Phoenix, AZ 85004",Phoenix,AZ,385 E Coronado Rd UNIT 6,85004,964,,,,1,2,West USA Realty,https://photos.zillowstatic.com/fp/cb95bc0d99ee75a8a3e2a9318cd96326-p_e.jpg,$,https://www.zillow.com/homedetails/385-E-Coronado-Rd-UNIT-6-Phoenix-AZ-85004/7537263_zpid/,https://www.zillow.com/phoenix-az/sold/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-112.63061986914062%2C%22east%22%3A-111.55121313085937%2C%22south%22%3A33.28514328583089%2C%22north%22%3A33.925649143779%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A40326%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A47958%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A54346%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A18298%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A40298%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,1,FALSE,TRUE,TRUE,FALSE,1,2,Phoenix,USA,USD,,1.71705E+12,1,RECENTLY_SOLD,RECENTLY_SOLD,TOWNHOUSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,33.466763,,,964,-112.065796,sqft,870,300000,,300000,,1749,FALSE,AZ,385 E Coronado Rd UNIT 6,150600,94167000,Unit 6,,304500,85004,7537263,7537263,https://photos.zillowstatic.com/fp/cb95bc0d99ee75a8a3e2a9318cd96326-p_e.jpg,Listing provided by ARMLS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.466763,-112.065796,TRUE,,RecentChange,RecentlySold,,RecentlySold,FALSE,Unknown Listed By,FALSE,"$300,000 ",Sold,SOLD,,,300000,Sold 05/30/2024,RECENTLY_SOLD,304500,7537263
"3918 E Mulberry Dr, Phoenix, AZ 85018",Phoenix,AZ,3918 E Mulberry Dr,85018,2286,,,,4,5,West USA Realty,https://photos.zillowstatic.com/fp/d4d54ae795038133bf9fd0ea1d703fe2-p_e.jpg,$,https://www.zillow.com/homedetails/3918-E-Mulberry-Dr-Phoenix-AZ-85018/7564477_zpid/,https://www.zillow.com/phoenix-az/sold/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-112.63061986914062%2C%22east%22%3A-111.55121313085937%2C%22south%22%3A33.28514328583089%2C%22north%22%3A33.925649143779%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A40326%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A47958%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A54346%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A18298%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A40298%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,1,FALSE,TRUE,TRUE,FALSE,4,5,Phoenix,USA,USD,1.71429E+12,1.71705E+12,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,33.487114,,,2286,-111.99682,sqft,7632,1090000,-10000,1090000,"$10,000 (Apr 28)",5094,FALSE,AZ,3918 E Mulberry Dr,346800,94167000,,,1066500,85018,7564477,7564477,https://photos.zillowstatic.com/fp/d4d54ae795038133bf9fd0ea1d703fe2-p_e.jpg,Listing provided by ARMLS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.487114,-111.99682,TRUE,,RecentChange,RecentlySold,,RecentlySold,FALSE,Unknown Listed By,FALSE,$1.09M,Sold,SOLD,,,1090000,Sold 05/30/2024,RECENTLY_SOLD,1066500,7564477
"2320 E La Jolla Dr, Tempe, AZ 85282",Tempe,AZ,2320 E La Jolla Dr,85282,1590,,,,2,3,My Home Group Real Estate,https://photos.zillowstatic.com/fp/598929ccc537277c0a3fbb1970a86a8a-p_e.jpg,$,https://www.zillow.com/homedetails/2320-E-La-Jolla-Dr-Tempe-AZ-85282/7603960_zpid/,https://www.zillow.com/phoenix-az/sold/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-112.63061986914062%2C%22east%22%3A-111.55121313085937%2C%22south%22%3A33.28514328583089%2C%22north%22%3A33.925649143779%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A40326%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A47958%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A54346%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A18298%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A40298%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,1,FALSE,TRUE,TRUE,FALSE,2,3,Tempe,USA,USD,,1.71705E+12,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,33.389637,,,1590,-111.88919,sqft,7296,400000,,400000,,2684,FALSE,AZ,2320 E La Jolla Dr,273200,94167000,,,466500,85282,7603960,7603960,https://photos.zillowstatic.com/fp/598929ccc537277c0a3fbb1970a86a8a-p_e.jpg,Listing provided by ARMLS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.389637,-111.88919,TRUE,,RecentChange,RecentlySold,,RecentlySold,FALSE,Unknown Listed By,FALSE,"$400,000 ",Sold,SOLD,,,400000,Sold 05/30/2024,RECENTLY_SOLD,466500,7603960
"7715 N 46th Cir, Glendale, AZ 85301",Glendale,AZ,7715 N 46th Cir,85301,2063,,,,2,4,eXp Realty,https://photos.zillowstatic.com/fp/65928823e620d56bcce4d1d85a1f9cac-p_e.jpg,$,https://www.zillow.com/homedetails/7715-N-46th-Cir-Glendale-AZ-85301/7724475_zpid/,https://www.zillow.com/phoenix-az/sold/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-112.63061986914062%2C%22east%22%3A-111.55121313085937%2C%22south%22%3A33.28514328583089%2C%22north%22%3A33.925649143779%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A40326%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A47958%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A54346%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A18298%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A40298%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,1,FALSE,TRUE,TRUE,FALSE,2,4,Glendale,USA,USD,,1.71705E+12,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,33.55017,,,2063,-112.15763,sqft,10036,430000,,430000,,2250,FALSE,AZ,7715 N 46th Cir,235000,94167000,,,434100,85301,7724475,7724475,https://photos.zillowstatic.com/fp/65928823e620d56bcce4d1d85a1f9cac-p_e.jpg,Listing provided by ARMLS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.55017,-112.15763,TRUE,,RecentChange,RecentlySold,,RecentlySold,FALSE,Unknown Listed By,FALSE,"$430,000 ",Sold,SOLD,,,430000,Sold 05/30/2024,RECENTLY_SOLD,434100,7724475
"4520 W Lupine Ave, Glendale, AZ 85304",Glendale,AZ,4520 W Lupine Ave,85304,1365,,,,2,4,Keller Williams Realty East Valley,https://photos.zillowstatic.com/fp/8fda57f32729e5ed1854830da936dcac-p_e.jpg,$,https://www.zillow.com/homedetails/4520-W-Lupine-Ave-Glendale-AZ-85304/7727019_zpid/,https://www.zillow.com/phoenix-az/sold/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-112.63061986914062%2C%22east%22%3A-111.55121313085937%2C%22south%22%3A33.28514328583089%2C%22north%22%3A33.925649143779%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A40326%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A47958%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A54346%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A18298%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A40298%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,1,FALSE,TRUE,TRUE,FALSE,2,4,Glendale,USA,USD,,1.71705E+12,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,33.590443,,,1365,-112.15645,sqft,6167,385000,,385000,,1917,FALSE,AZ,4520 W Lupine Ave,177100,94167000,,,382900,85304,7727019,7727019,https://photos.zillowstatic.com/fp/8fda57f32729e5ed1854830da936dcac-p_e.jpg,Listing provided by ARMLS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.590443,-112.15645,TRUE,,RecentChange,RecentlySold,,RecentlySold,FALSE,Unknown Listed By,FALSE,"$385,000 ",Sold,SOLD,,,385000,Sold 05/30/2024,RECENTLY_SOLD,382900,7727019
"4854 W Turquoise Ave, Glendale, AZ 85302",Glendale,AZ,4854 W Turquoise Ave,85302,2371,,,,2,4,"Weichert, Realtors - Courtney Valleywide",https://photos.zillowstatic.com/fp/586a3c85c0f409ad59d6e732d8650979-p_e.jpg,$,https://www.zillow.com/homedetails/4854-W-Turquoise-Ave-Glendale-AZ-85302/7728826_zpid/,https://www.zillow.com/phoenix-az/sold/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-112.63061986914062%2C%22east%22%3A-111.55121313085937%2C%22south%22%3A33.28514328583089%2C%22north%22%3A33.925649143779%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A40326%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A47958%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A54346%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A18298%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A40298%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,1,FALSE,TRUE,TRUE,FALSE,2,4,Glendale,USA,USD,1.71524E+12,1.71705E+12,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,33.575684,,,2371,-112.16402,sqft,7414,460000,-10000,460000,"$10,000 (May 9)",2795,FALSE,AZ,4854 W Turquoise Ave,237500,94167000,,,,85302,7728826,7728826,https://photos.zillowstatic.com/fp/586a3c85c0f409ad59d6e732d8650979-p_e.jpg,Listing provided by ARMLS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.575684,-112.16402,TRUE,,RecentChange,RecentlySold,,RecentlySold,FALSE,Unknown Listed By,FALSE,"$460,000 ",Sold,SOLD,,,460000,Sold 05/30/2024,RECENTLY_SOLD,,7728826
"5643 W Carol Ave, Glendale, AZ 85302",Glendale,AZ,5643 W Carol Ave,85302,1642,,,,2,3,West USA Realty,https://photos.zillowstatic.com/fp/f8f4b4509b5a8d2aa3c7f37d46049494-p_e.jpg,$,https://www.zillow.com/homedetails/5643-W-Carol-Ave-Glendale-AZ-85302/7734796_zpid/,https://www.zillow.com/phoenix-az/sold/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-112.63061986914062%2C%22east%22%3A-111.55121313085937%2C%22south%22%3A33.28514328583089%2C%22north%22%3A33.925649143779%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A40326%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A47958%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A54346%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A18298%2C%22regionType%22%3A6%7D%2C%7B%22regionId%22%3A40298%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22rs%22%3A%7B%22value%22%3Atrue%7D%2C%22fsba%22%3A%7B%22value%22%3Afalse%7D%2C%22fsbo%22%3A%7B%22value%22%3Afalse%7D%2C%22nc%22%3A%7B%22value%22%3Afalse%7D%2C%22cmsn%22%3A%7B%22value%22%3Afalse%7D%2C%22auc%22%3A%7B%22value%22%3Afalse%7D%2C%22fore%22%3A%7B%22value%22%3Afalse%7D%7D%2C%22isListVisible%22%3Atrue%7D,1,FALSE,TRUE,TRUE,FALSE,2,3,Glendale,USA,USD,,1.71705E+12,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,33.571156,,,1642,-112.1817,sqft,7989,400000,,400000,,2080,FALSE,AZ,5643 W Carol Ave,211800,94167000,,,,85302,7734796,7734796,https://photos.zillowstatic.com/fp/f8f4b4509b5a8d2aa3c7f37d46049494-p_e.jpg,Listing provided by ARMLS,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33.571156,-112.1817,TRUE,,RecentChange,RecentlySold,,RecentlySold,FALSE,Unknown Listed By,FALSE,"$400,000 ",Sold,SOLD,,,400000,Sold 05/30/2024,RECENTLY_SOLD,,7734796
